日期,時間,平均車速(km/h),車輛總數,datetime,時段,過去1小時平均車速,未來20分鐘壅塞
2024/1/6,00:00,105.56,159,2024/1/6 00:00,清晨,105.56,0
2024/1/6,00:05,103.94,152,2024/1/6 00:05,清晨,104.75,0
2024/1/6,00:10,110.11,119,2024/1/6 00:10,清晨,106.5366667,0
2024/1/6,00:15,108.33,135,2024/1/6 00:15,清晨,106.985,0
2024/1/6,00:20,108.33,135,2024/1/6 00:20,清晨,107.254,0
2024/1/6,00:25,106.76,99,2024/1/6 00:25,清晨,107.1716667,0
2024/1/6,00:30,101.71,103,2024/1/6 00:30,清晨,106.3914286,0
2024/1/6,00:35,101.71,103,2024/1/6 00:35,清晨,105.80625,0
2024/1/6,00:40,107.82,88,2024/1/6 00:40,清晨,106.03,0
2024/1/6,00:45,104.68,93,2024/1/6 00:45,清晨,105.895,0
2024/1/6,00:50,104.68,93,2024/1/6 00:50,清晨,105.7845455,0
2024/1/6,00:55,102.93,88,2024/1/6 00:55,清晨,105.5466667,0
2024/1/6,01:00,102.93,88,2024/1/6 01:00,清晨,105.3275,0
2024/1/6,01:05,101.3,67,2024/1/6 01:05,清晨,105.1075,0
2024/1/6,01:10,101.33,66,2024/1/6 01:10,清晨,104.3758333,0
2024/1/6,01:15,106.68,79,2024/1/6 01:15,清晨,104.2383333,0
2024/1/6,01:20,106.68,79,2024/1/6 01:20,清晨,104.1008333,0
2024/1/6,01:25,108.83,70,2024/1/6 01:25,清晨,104.2733333,0
2024/1/6,01:30,108.44,68,2024/1/6 01:30,清晨,104.8341667,0
2024/1/6,01:35,108.44,68,2024/1/6 01:35,清晨,105.395,0
2024/1/6,01:40,107.07,59,2024/1/6 01:40,清晨,105.3325,0
2024/1/6,01:45,105.99,74,2024/1/6 01:45,清晨,105.4416667,0
2024/1/6,01:50,105.99,74,2024/1/6 01:50,清晨,105.5508333,0
2024/1/6,01:55,104.76,63,2024/1/6 01:55,清晨,105.7033333,0
2024/1/6,02:00,104.76,63,2024/1/6 02:00,清晨,105.8558333,0
2024/1/6,02:05,104.21,48,2024/1/6 02:05,清晨,106.0983333,0
2024/1/6,02:10,105.23,39,2024/1/6 02:10,清晨,106.4233333,0
2024/1/6,02:15,107.93,42,2024/1/6 02:15,清晨,106.5275,0
2024/1/6,02:20,107.93,42,2024/1/6 02:20,清晨,106.6316667,0
2024/1/6,02:25,110.67,46,2024/1/6 02:25,清晨,106.785,0
2024/1/6,02:30,107.12,52,2024/1/6 02:30,清晨,106.675,0
2024/1/6,02:35,107.12,52,2024/1/6 02:35,清晨,106.565,0
2024/1/6,02:40,102.62,48,2024/1/6 02:40,清晨,106.1941667,0
2024/1/6,02:45,104.4,40,2024/1/6 02:45,清晨,106.0616667,0
2024/1/6,02:50,104.4,40,2024/1/6 02:50,清晨,105.9291667,0
2024/1/6,02:55,102.4,35,2024/1/6 02:55,清晨,105.7325,0
2024/1/6,03:00,102.4,35,2024/1/6 03:00,清晨,105.5358333,0
2024/1/6,03:05,106.13,47,2024/1/6 03:05,清晨,105.6958333,0
