etag_pair_id,time,mean_speed,vehicle_count,seconds_per_vehicle
03F0559S-03F0648S,00:00:00,103.66,79.19,3.98
03F0559S-03F0648S,00:05:00,103.18,76.04,4.12
03F0559S-03F0648S,00:10:00,102.79,83.2,3.82
03F0559S-03F0648S,00:15:00,102.23,72.15,4.4
03F0559S-03F0648S,00:20:00,103.12,70.43,4.46
03F0559S-03F0648S,00:25:00,100.77,80.53,3.92
03F0559S-03F0648S,00:30:00,102.74,64.22,4.96
03F0559S-03F0648S,00:35:00,100.34,75.11,4.07
03F0559S-03F0648S,00:40:00,102.68,60.35,5.29
03F0559S-03F0648S,00:45:00,102.69,60.19,5.26
03F0559S-03F0648S,00:50:00,103.22,55.6,5.64
03F0559S-03F0648S,00:55:00,102.05,56.27,5.59
03F0559S-03F0648S,01:00:00,103.46,51.67,6.07
03F0559S-03F0648S,01:05:00,103.56,47.48,6.74
03F0559S-03F0648S,01:10:00,102.08,52.05,5.88
03F0559S-03F0648S,01:15:00,103.93,43.4,7.25
03F0559S-03F0648S,01:20:00,102.49,43.5,7.23
03F0559S-03F0648S,01:25:00,102.87,43,7.14
03F0559S-03F0648S,01:30:00,101.91,39.72,8.01
03F0559S-03F0648S,01:35:00,102.1,40.78,7.55
03F0559S-03F0648S,01:40:00,101.56,35.7,8.79
03F0559S-03F0648S,01:45:00,102.3,34.96,9.13
03F0559S-03F0648S,01:50:00,102.77,34.84,9.14
03F0559S-03F0648S,01:55:00,101.65,36.46,8.89
03F0559S-03F0648S,02:00:00,101.67,34.36,9.22
03F0559S-03F0648S,02:05:00,102.38,31.54,10.08
03F0559S-03F0648S,02:10:00,101.28,34.85,9.27
03F0559S-03F0648S,02:15:00,101.09,32.15,9.8
03F0559S-03F0648S,02:20:00,102.8,31.59,9.83
03F0559S-03F0648S,02:25:00,102.17,27.29,11.4
03F0559S-03F0648S,02:30:00,101.97,27.57,11.53
03F0559S-03F0648S,02:35:00,100.45,30.8,9.99
03F0559S-03F0648S,02:40:00,101.16,29.02,10.99
